name	title	source	organism	experiment	well	individual	molecule	description	processed1	processed2	processed3	processed4	processed5	raw
Sample 0011	20170905-A11-NA18855	LCL-derived iPSC	Homo sapiens	20170905	A11	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-A11-NA18855.fastq.gz
Sample 0012	20170905-A12-NA18855	LCL-derived iPSC	Homo sapiens	20170905	A12	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-A12-NA18855.fastq.gz
Sample 0013	20170905-B01-NA18855	LCL-derived iPSC	Homo sapiens	20170905	B01	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-B01-NA18855.fastq.gz
Sample 0014	20170905-B02-NA18855	LCL-derived iPSC	Homo sapiens	20170905	B02	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-B02-NA18855.fastq.gz
Sample 0015	20170905-B03-NA18870	LCL-derived iPSC	Homo sapiens	20170905	B03	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-B03-NA18870.fastq.gz
Sample 0016	20170905-B04-NA18855	LCL-derived iPSC	Homo sapiens	20170905	B04	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-B04-NA18855.fastq.gz
Sample 0017	20170905-B05-NA18855	LCL-derived iPSC	Homo sapiens	20170905	B05	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-B05-NA18855.fastq.gz
Sample 0018	20170905-B06-NA18870	LCL-derived iPSC	Homo sapiens	20170905	B06	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-B06-NA18870.fastq.gz
Sample 0019	20170905-B07-NA18855	LCL-derived iPSC	Homo sapiens	20170905	B07	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-B07-NA18855.fastq.gz
Sample 0020	20170905-B08-NA18870	LCL-derived iPSC	Homo sapiens	20170905	B08	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-B08-NA18870.fastq.gz
Sample 0021	20170905-B09-NA18855	LCL-derived iPSC	Homo sapiens	20170905	B09	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-B09-NA18855.fastq.gz
Sample 0022	20170905-B10-NA18870	LCL-derived iPSC	Homo sapiens	20170905	B10	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-B10-NA18870.fastq.gz
Sample 0023	20170905-B11-NA18855	LCL-derived iPSC	Homo sapiens	20170905	B11	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-B11-NA18855.fastq.gz
Sample 0024	20170905-B12-NA18855	LCL-derived iPSC	Homo sapiens	20170905	B12	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-B12-NA18855.fastq.gz
Sample 0025	20170905-C01-NA18855	LCL-derived iPSC	Homo sapiens	20170905	C01	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-C01-NA18855.fastq.gz
Sample 0026	20170905-C02-NA18870	LCL-derived iPSC	Homo sapiens	20170905	C02	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-C02-NA18870.fastq.gz
Sample 0027	20170905-C03-NA18870	LCL-derived iPSC	Homo sapiens	20170905	C03	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-C03-NA18870.fastq.gz
Sample 0028	20170905-C04-NA18870	LCL-derived iPSC	Homo sapiens	20170905	C04	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-C04-NA18870.fastq.gz
Sample 0029	20170905-C05-NA18855	LCL-derived iPSC	Homo sapiens	20170905	C05	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-C05-NA18855.fastq.gz
Sample 0030	20170905-C06-NA18855	LCL-derived iPSC	Homo sapiens	20170905	C06	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-C06-NA18855.fastq.gz
Sample 0031	20170905-C07-NA18855	LCL-derived iPSC	Homo sapiens	20170905	C07	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-C07-NA18855.fastq.gz
Sample 0032	20170905-C08-NA18855	LCL-derived iPSC	Homo sapiens	20170905	C08	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-C08-NA18855.fastq.gz
Sample 0033	20170905-C09-NA18855	LCL-derived iPSC	Homo sapiens	20170905	C09	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-C09-NA18855.fastq.gz
Sample 0034	20170905-C10-NA18855	LCL-derived iPSC	Homo sapiens	20170905	C10	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-C10-NA18855.fastq.gz
Sample 0035	20170905-C11-NA18855	LCL-derived iPSC	Homo sapiens	20170905	C11	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-C11-NA18855.fastq.gz
Sample 0036	20170905-C12-NA18855	LCL-derived iPSC	Homo sapiens	20170905	C12	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-C12-NA18855.fastq.gz
Sample 0037	20170905-D01-NA18855	LCL-derived iPSC	Homo sapiens	20170905	D01	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-D01-NA18855.fastq.gz
Sample 0038	20170905-D02-NA18855	LCL-derived iPSC	Homo sapiens	20170905	D02	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-D02-NA18855.fastq.gz
Sample 0039	20170905-D03-NA18855	LCL-derived iPSC	Homo sapiens	20170905	D03	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-D03-NA18855.fastq.gz
Sample 0040	20170905-D04-NA18870	LCL-derived iPSC	Homo sapiens	20170905	D04	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-D04-NA18870.fastq.gz
Sample 0041	20170905-D05-NA18870	LCL-derived iPSC	Homo sapiens	20170905	D05	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-D05-NA18870.fastq.gz
Sample 0042	20170905-D06-NA18870	LCL-derived iPSC	Homo sapiens	20170905	D06	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-D06-NA18870.fastq.gz
Sample 0043	20170905-D07-NA18855	LCL-derived iPSC	Homo sapiens	20170905	D07	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-D07-NA18855.fastq.gz
Sample 0044	20170905-D08-NA18855	LCL-derived iPSC	Homo sapiens	20170905	D08	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-D08-NA18855.fastq.gz
Sample 0045	20170905-D09-NA18870	LCL-derived iPSC	Homo sapiens	20170905	D09	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-D09-NA18870.fastq.gz
Sample 0046	20170905-D10-NA18855	LCL-derived iPSC	Homo sapiens	20170905	D10	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-D10-NA18855.fastq.gz
Sample 0047	20170905-D11-NA18855	LCL-derived iPSC	Homo sapiens	20170905	D11	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-D11-NA18855.fastq.gz
Sample 0048	20170905-D12-NA18855	LCL-derived iPSC	Homo sapiens	20170905	D12	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-D12-NA18855.fastq.gz
Sample 0049	20170905-E01-NA18870	LCL-derived iPSC	Homo sapiens	20170905	E01	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-E01-NA18870.fastq.gz
Sample 0050	20170905-E02-NA18855	LCL-derived iPSC	Homo sapiens	20170905	E02	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-E02-NA18855.fastq.gz
Sample 0051	20170905-E03-NA18870	LCL-derived iPSC	Homo sapiens	20170905	E03	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-E03-NA18870.fastq.gz
Sample 0052	20170905-E04-NA18855	LCL-derived iPSC	Homo sapiens	20170905	E04	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-E04-NA18855.fastq.gz
Sample 0053	20170905-E05-NA18855	LCL-derived iPSC	Homo sapiens	20170905	E05	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-E05-NA18855.fastq.gz
Sample 0054	20170905-E06-NA18870	LCL-derived iPSC	Homo sapiens	20170905	E06	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-E06-NA18870.fastq.gz
Sample 0055	20170905-E07-NA18855	LCL-derived iPSC	Homo sapiens	20170905	E07	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-E07-NA18855.fastq.gz
Sample 0056	20170905-E08-NA18855	LCL-derived iPSC	Homo sapiens	20170905	E08	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-E08-NA18855.fastq.gz
Sample 0057	20170905-E09-NA18855	LCL-derived iPSC	Homo sapiens	20170905	E09	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-E09-NA18855.fastq.gz
Sample 0058	20170905-E10-NA18855	LCL-derived iPSC	Homo sapiens	20170905	E10	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-E10-NA18855.fastq.gz
Sample 0059	20170905-E11-NA18870	LCL-derived iPSC	Homo sapiens	20170905	E11	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-E11-NA18870.fastq.gz
Sample 0060	20170905-E12-NA18870	LCL-derived iPSC	Homo sapiens	20170905	E12	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-E12-NA18870.fastq.gz
Sample 0061	20170905-F01-NA18870	LCL-derived iPSC	Homo sapiens	20170905	F01	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-F01-NA18870.fastq.gz
Sample 0062	20170905-F02-NA18870	LCL-derived iPSC	Homo sapiens	20170905	F02	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-F02-NA18870.fastq.gz
Sample 0063	20170905-F03-NA18855	LCL-derived iPSC	Homo sapiens	20170905	F03	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-F03-NA18855.fastq.gz
Sample 0064	20170905-F04-NA18855	LCL-derived iPSC	Homo sapiens	20170905	F04	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-F04-NA18855.fastq.gz
Sample 0065	20170905-F05-NA18855	LCL-derived iPSC	Homo sapiens	20170905	F05	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-F05-NA18855.fastq.gz
Sample 0066	20170905-F06-NA18855	LCL-derived iPSC	Homo sapiens	20170905	F06	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-F06-NA18855.fastq.gz
Sample 0067	20170905-F07-NA18855	LCL-derived iPSC	Homo sapiens	20170905	F07	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-F07-NA18855.fastq.gz
Sample 0068	20170905-F08-NA18870	LCL-derived iPSC	Homo sapiens	20170905	F08	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-F08-NA18870.fastq.gz
Sample 0069	20170905-F09-NA18870	LCL-derived iPSC	Homo sapiens	20170905	F09	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-F09-NA18870.fastq.gz
Sample 0070	20170905-F10-NA18870	LCL-derived iPSC	Homo sapiens	20170905	F10	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-F10-NA18870.fastq.gz
Sample 0071	20170905-F11-NA18855	LCL-derived iPSC	Homo sapiens	20170905	F11	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-F11-NA18855.fastq.gz
Sample 0072	20170905-F12-NA18855	LCL-derived iPSC	Homo sapiens	20170905	F12	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-F12-NA18855.fastq.gz
Sample 0073	20170905-G01-NA18870	LCL-derived iPSC	Homo sapiens	20170905	G01	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-G01-NA18870.fastq.gz
Sample 0074	20170905-G02-NA18855	LCL-derived iPSC	Homo sapiens	20170905	G02	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-G02-NA18855.fastq.gz
Sample 0075	20170905-G03-NA18870	LCL-derived iPSC	Homo sapiens	20170905	G03	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-G03-NA18870.fastq.gz
Sample 0076	20170905-G04-NA18870	LCL-derived iPSC	Homo sapiens	20170905	G04	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-G04-NA18870.fastq.gz
Sample 0077	20170905-G05-NA18870	LCL-derived iPSC	Homo sapiens	20170905	G05	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-G05-NA18870.fastq.gz
Sample 0078	20170905-G06-NA18855	LCL-derived iPSC	Homo sapiens	20170905	G06	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-G06-NA18855.fastq.gz
Sample 0079	20170905-G07-NA18870	LCL-derived iPSC	Homo sapiens	20170905	G07	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-G07-NA18870.fastq.gz
Sample 0080	20170905-G08-NA18855	LCL-derived iPSC	Homo sapiens	20170905	G08	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-G08-NA18855.fastq.gz
Sample 0081	20170905-G09-NA18870	LCL-derived iPSC	Homo sapiens	20170905	G09	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-G09-NA18870.fastq.gz
Sample 0082	20170905-G10-NA18855	LCL-derived iPSC	Homo sapiens	20170905	G10	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-G10-NA18855.fastq.gz
Sample 0083	20170905-G11-NA18855	LCL-derived iPSC	Homo sapiens	20170905	G11	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-G11-NA18855.fastq.gz
Sample 0084	20170905-G12-NA18855	LCL-derived iPSC	Homo sapiens	20170905	G12	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-G12-NA18855.fastq.gz
Sample 0085	20170905-H01-NA18855	LCL-derived iPSC	Homo sapiens	20170905	H01	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-H01-NA18855.fastq.gz
Sample 0086	20170905-H02-NA18855	LCL-derived iPSC	Homo sapiens	20170905	H02	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-H02-NA18855.fastq.gz
Sample 0087	20170905-H03-NA18855	LCL-derived iPSC	Homo sapiens	20170905	H03	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-H03-NA18855.fastq.gz
Sample 0088	20170905-H04-NA18870	LCL-derived iPSC	Homo sapiens	20170905	H04	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-H04-NA18870.fastq.gz
Sample 0089	20170905-H05-NA18870	LCL-derived iPSC	Homo sapiens	20170905	H05	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-H05-NA18870.fastq.gz
Sample 0090	20170905-H06-NA18870	LCL-derived iPSC	Homo sapiens	20170905	H06	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-H06-NA18870.fastq.gz
Sample 0091	20170905-H07-NA18870	LCL-derived iPSC	Homo sapiens	20170905	H07	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-H07-NA18870.fastq.gz
Sample 0092	20170905-H08-NA18870	LCL-derived iPSC	Homo sapiens	20170905	H08	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-H08-NA18870.fastq.gz
Sample 0093	20170905-H09-NA18870	LCL-derived iPSC	Homo sapiens	20170905	H09	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-H09-NA18870.fastq.gz
Sample 0094	20170905-H10-NA18870	LCL-derived iPSC	Homo sapiens	20170905	H10	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-H10-NA18870.fastq.gz
Sample 0095	20170905-H11-NA18870	LCL-derived iPSC	Homo sapiens	20170905	H11	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-H11-NA18870.fastq.gz
Sample 0096	20170905-H12-NA18870	LCL-derived iPSC	Homo sapiens	20170905	H12	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-H12-NA18870.fastq.gz
Sample 0097	20170906-A01-NA19098	LCL-derived iPSC	Homo sapiens	20170906	A01	NA19098	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170906-A01-NA19098.fastq.gz
Sample 0098	20170906-A02-NA19098	LCL-derived iPSC	Homo sapiens	20170906	A02	NA19098	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170906-A02-NA19098.fastq.gz
Sample 0099	20170906-A03-NA19098	LCL-derived iPSC	Homo sapiens	20170906	A03	NA19098	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170906-A03-NA19098.fastq.gz
Sample 0100	20170906-A04-NA19098	LCL-derived iPSC	Homo sapiens	20170906	A04	NA19098	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170906-A04-NA19098.fastq.gz
Sample 0101	20170906-A05-NA19101	LCL-derived iPSC	Homo sapiens	20170906	A05	NA19101	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170906-A05-NA19101.fastq.gz
Sample 0102	20170906-A06-NA19098	LCL-derived iPSC	Homo sapiens	20170906	A06	NA19098	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170906-A06-NA19098.fastq.gz
Sample 0103	20170906-A07-NA19101	LCL-derived iPSC	Homo sapiens	20170906	A07	NA19101	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170906-A07-NA19101.fastq.gz
Sample 0104	20170906-A08-NA19098	LCL-derived iPSC	Homo sapiens	20170906	A08	NA19098	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170906-A08-NA19098.fastq.gz
Sample 0105	20170906-A09-NA19098	LCL-derived iPSC	Homo sapiens	20170906	A09	NA19098	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170906-A09-NA19098.fastq.gz
Sample 0106	20170906-A10-NA19098	LCL-derived iPSC	Homo sapiens	20170906	A10	NA19098	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170906-A10-NA19098.fastq.gz
