sample_id	experiment	well	cell_number	concentration	ERCC	individual.1	individual.2	image_individual	image_label	raw	umi	mapped	unmapped	reads_ercc	reads_hs	reads_egfp	reads_mcherry	molecules	mol_ercc	mol_hs	mol_egfp	mol_mcherry	detect_ercc	detect_hs	chip_id	chipmix	freemix	snps	reads	avg_dp	min_dp	snps_w_min	valid_id	cut_off_reads	unmapped_ratios	cut_off_unmapped	ercc_percentage	cut_off_ercc	cut_off_genes	ercc_conversion	conversion	conversion_outlier	molecule_outlier	filter_all	rfp.median.log10sum	gfp.median.log10sum	dapi.median.log10sum	rfp.median.log10sum.adjust	gfp.median.log10sum.adjust	dapi.median.log10sum.adjust	size	perimeter	eccentricity	theta
20170905-B03	20170905	B03	1	1.768951084	50x dilution	NA18855	NA18870	18870_18855	7	4397300	3003406	2110218	893188	210809	1899013	395	1	109001	3591	105392	17	1	42	7706	NA18870	0.35941	0.13517	311848	6451	0.02	1	2822	TRUE	TRUE	0.297391694629364	TRUE	0.0998991573382466	TRUE	TRUE	0.0170343770901622	0.0554983035924451	FALSE	FALSE	TRUE	1.73739128316838	3.05087485162641	2.83104617377601	-0.602737439258195	0.10185931014672	-0.0732816434118302	727	82	0.461019089307848	0.602416608243773
20170905-B04	20170905	B04	1	1.794976788	50x dilution	NA18855	NA18870	18870_18855	55	4692918	3185486	2266596	918890	253674	2011703	1128	91	102798	3578	99185	31	4	42	7382	NA18855	0.30303	0.1183	311848	6137	0.02	1	2667	TRUE	TRUE	0.288461478091569	TRUE	0.111918489223488	TRUE	TRUE	0.0141047170778243	0.0493039976577059	FALSE	FALSE	TRUE	2.76780895792536	2.83087432468701	2.9850574445342	0.331321937113866	0.0189319707072104	0.163197878932783	1135	106	0.725442963441775	3.92005479391561
20170905-B05	20170905	B05	1	1.347105365	50x dilution	NA18855	NA18870	18870_18855	56	4410548	2958663	1944222	1014441	265431	1678370	421	0	95210	3683	91502	25	0	44	7032	NA18855	0.37309	0.10416	311848	5465	0.02	1	2368	TRUE	TRUE	0.342871425370176	TRUE	0.136522989658588	TRUE	TRUE	0.0138755458103989	0.0545183719918731	FALSE	FALSE	TRUE	2.01114936305363	2.4971751752807	2.90036927927067	-0.240400965458828	-0.354023566307638	0.00212508461607719	1034	101	0.62396941405768	1.89156645889805
20170905-B07	20170905	B07	1	2.072595721	50x dilution	NA18855	NA18870	18870_18855	12	4103262	2843177	2073531	769646	181947	1890592	990	2	106543	3381	103127	33	2	44	7665	NA18855	0.21335	0.10336	311848	6675	0.02	1	2849	TRUE	TRUE	0.270699291672661	TRUE	0.0877474221509107	TRUE	TRUE	0.0185823344160662	0.0545474644978927	FALSE	FALSE	TRUE	3.08708046829597	3.07074782599514	2.83679286619139	0.643528950381825	0.0585587345953389	-0.139177780580849	769	85	0.585455403017983	4.01582968722477
20170905-B08	20170905	B08	1	2.245647225	50x dilution	NA18855	NA18870	18870_18855	11	4317837	2966789	2170578	796211	179501	1990558	516	3	118963	3527	115404	31	1	42	8021	NA18870	0.24508	0.09011	311848	7308	0.02	1	3113	TRUE	TRUE	0.26837466365151	TRUE	0.0826973276242549	TRUE	TRUE	0.019648915604927	0.0579757032952569	FALSE	FALSE	TRUE	2.10973677607844	3.1584100605723	2.94746574079414	0.0426193300842108	0.191986030848898	0.0225827511130645	1323	111	0.421141584332503	5.4418621649613
20170905-B09	20170905	B09	1	1.560520269	50x dilution	NA18855	NA18870	18870_18855	10	3648669	2536070	1833483	702587	210050	1622695	738	0	93781	3489	90265	27	0	41	7139	NA18855	0.35553	0.13822	311848	5417	0.02	1	2442	TRUE	TRUE	0.277037700063484	TRUE	0.114563374735408	TRUE	TRUE	0.0166103308736015	0.0556265964953365	FALSE	FALSE	TRUE	2.43013538774287	2.56214612171812	2.81977947835294	0.0724146209711689	-0.330621239434437	-0.10876983782045	1056	98	0.463342553112946	2.44251282494666
20170905-B10	20170905	B10	1	1.555848928	50x dilution	NA18855	NA18870	18870_18855	58	3557448	2454217	1771649	682568	227082	1544209	358	0	89230	3631	85586	13	0	44	7012	NA18870	0.39574	0.13847	311848	4992	0.02	1	2330	TRUE	TRUE	0.278120475899238	TRUE	0.128175502032287	TRUE	TRUE	0.015989818655816	0.0554238448292945	FALSE	FALSE	TRUE	2.11407678755821	2.4313414775376	2.85777356009796	-0.0926244471412145	-0.455495791100295	-0.0653696904419556	871	92	0.6226812500602	2.18013197566017
20170905-B11	20170905	B11	1	1.7410497	50x dilution	NA18855	NA18870	18870_18855	59	4779760	3202410	2241814	960596	281900	1959399	506	9	105903	3927	101948	26	2	43	7562	NA18855	0.31639	0.11234	311848	6161	0.02	1	2657	TRUE	TRUE	0.299960342367155	TRUE	0.125746382170867	TRUE	TRUE	0.0139304717985101	0.052030239884781	FALSE	FALSE	TRUE	2.89900236064899	3.01865238108668	2.86722944736518	0.490067246478453	0.121698262207132	-0.0173613289026839	863	88	0.710191561687299	4.23224752138908
20170905-C01	20170905	C01	1	2.105127468	50x dilution	NA18855	NA18870	18870_18855	15	5178208	3544408	2505734	1038674	178354	2327375	5	0	143326	3767	139554	5	0	45	8572	NA18855	0.20645	0.09327	311848	8412	0.03	1	3589	TRUE	TRUE	0.293045834452467	TRUE	0.0711783453471119	TRUE	TRUE	0.0211209168283302	0.0599619743273001	FALSE	FALSE	TRUE	1.7470640226826	2.83421765740921	2.90588728093262	-0.781782385999157	-0.133837573760254	-0.0136849927503722	1113	108	0.597473160833711	1.05186976016577
20170905-C02	20170905	C02	1	2.306146495	50x dilution	NA18855	NA18870	18870_18855	14	5774519	3879375	2762988	1116387	173484	2588443	1057	4	157025	3669	153319	35	2	42	8900	NA18870	0.21143	0.07554	311848	9314	0.03	1	3822	TRUE	TRUE	0.287774963750604	TRUE	0.0627885463129047	TRUE	TRUE	0.0211489243964861	0.0592321329849643	FALSE	FALSE	TRUE	1.83980720613763	3.24054380961288	3.11155853607569	-0.449802895357473	0.461556413169459	0.247128505505262	2422	200	0.94313742772464	6.14527516751827
20170905-C03	20170905	C03	1	2.011219077	50x dilution	NA18855	NA18870	18870_18855	13	4864817	3336795	2367711	969084	223166	2143566	975	4	120842	3649	117161	31	1	46	7881	NA18870	0.324	0.11277	311848	6694	0.02	1	2903	TRUE	TRUE	0.290423595096492	TRUE	0.0942539017641933	TRUE	TRUE	0.0163510570606634	0.0546570527802736	FALSE	FALSE	TRUE	2.83952492231365	2.87472991527347	2.7897166501017	0.300832119079312	-0.0576668373236187	-0.0880479908562988	795	85	0.393811824117356	3.53640550164561
20170905-C04	20170905	C04	1	2.166211696	50x dilution	NA18855	NA18870	18870_18855	61	5466144	3589834	2493843	1095991	220524	2272885	433	1	126817	3751	123031	34	1	48	7884	NA18870	0.32986	0.08632	311848	6868	0.02	1	2936	TRUE	TRUE	0.305304089269866	TRUE	0.0884273789488753	TRUE	TRUE	0.0170094864958009	0.054129883386093	FALSE	FALSE	TRUE	2.78727215596696	2.94101434997901	2.8361765791325	0.621307462080058	0.0482401305985616	-0.0969019504888	750	84	0.591258410993717	3.99431677954965
20170905-C06	20170905	C06	1	1.798733989	50x dilution	NA18855	NA18870	18870_18855	63	3972832	2666637	1819654	846983	208528	1611122	4	0	94268	3407	90857	4	0	41	7078	NA18855	0.31192	0.14044	311848	5290	0.02	1	2402	TRUE	TRUE	0.317622158546514	TRUE	0.114597610314928	TRUE	TRUE	0.0163383334612138	0.0563936188569208	FALSE	FALSE	TRUE	1.09733684121072	2.55883124255495	2.89283866808032	-0.671130080663062	-0.381106996287018	-0.0803278766345756	1224	132	0.927032424208809	1.47395749457416
20170905-C07	20170905	C07	1	1.982468594	50x dilution	NA18855	NA18870	18870_18855	18	3773674	2626790	1953144	673646	178206	1773823	1091	24	103608	3336	100234	35	3	42	7726	NA18855	0.2857	0.08748	311848	6805	0.02	1	2957	TRUE	TRUE	0.25645217166199	TRUE	0.0912405844115948	TRUE	TRUE	0.0187199084205919	0.0565073290852582	FALSE	FALSE	TRUE	2.83733067324288	3.08592304989701	2.89284836231932	0.517769929873646	0.164440311521229	-0.078861433270605	903	90	0.628238187701421	4.32688446292874
20170905-C08	20170905	C08	1	1.575687665	50x dilution	NA18855	NA18870	18870_18855	17	3679828	2519620	1720322	799298	217475	1502329	516	2	88589	3455	85118	15	1	44	6864	NA18855	0.24581	0.09602	311848	5337	0.02	1	2321	TRUE	TRUE	0.317229582238592	TRUE	0.12641528737062	TRUE	TRUE	0.0158868835498333	0.0566573633338636	FALSE	FALSE	TRUE	3.19112429244761	3.05142184486253	2.85450132024178	0.674877747935906	0.151681019136865	0.0325924608310801	796	86	0.241936022515159	4.21067427446736
20170905-C10	20170905	C10	1	1.343421106	50x dilution	NA18855	NA18870	18870_18855	64	3698667	2511137	1659089	852048	221531	1437077	421	60	85275	3431	81824	19	1	41	6552	NA18855	0.25549	0.09123	311848	4811	0.02	1	2120	TRUE	TRUE	0.339307652270665	TRUE	0.133525687892572	TRUE	TRUE	0.0154876744112562	0.0569377980442245	FALSE	FALSE	TRUE	1.72955295798389	2.3400696087028	2.79558256344432	-0.603946400076248	-0.298141177110814	-0.0719210281748981	788	86	0.62864491756054	1.4108597534724
20170905-C11	20170905	C11	1	1.749141714	50x dilution	NA18855	NA18870	18870_18855	65	3979567	2674974	1886512	788462	216468	1669791	253	0	97112	3510	93590	12	0	44	7256	NA18855	0.23192	0.10105	311848	5759	0.02	1	2561	TRUE	TRUE	0.294755014441262	TRUE	0.114745095711026	TRUE	TRUE	0.0162148677864627	0.0560489306745575	FALSE	FALSE	TRUE	3.22566468965218	3.01799449574075	2.74789297017933	1.00839785160814	0.193488111609291	-0.214103706015812	961	94	0.637203998659969	4.17527139989388
20170905-C12	20170905	C12	1	1.805529055	50x dilution	NA18855	NA18870	18870_18855	66	4631800	3024658	1942273	1082385	219818	1721728	684	43	106600	3726	102848	22	4	45	7335	NA18855	0.27894	0.09708	311848	6078	0.02	1	2588	TRUE	TRUE	0.357853681308763	TRUE	0.113175645236277	TRUE	TRUE	0.0169503862286073	0.059735335662776	FALSE	FALSE	TRUE	3.14534708641339	2.99361744705573	3.00145573592187	0.772103685455158	0.282611093965861	0.119089486447747	1085	101	0.271050078559493	4.39553128243548
20170905-D01	20170905	D01	1	1.914912573	50x dilution	NA18855	NA18870	18870_18855	21	3840875	2738051	1992719	745332	203585	1788350	771	13	97267	3520	93711	34	2	45	7260	NA18855	0.27737	0.05672	311848	6131	0.02	1	2572	TRUE	TRUE	0.27221260670455	TRUE	0.102164429605981	TRUE	TRUE	0.0172900753984822	0.052400816395001	FALSE	FALSE	TRUE	1.59483454088068	3.11294478401535	3.18310923855284	-0.640805471910602	0.117798177484244	0.155439736161578	1979	141	0.509816282469593	0.57967121463573
20170905-D03	20170905	D03	1	2.114166627	50x dilution	NA18855	NA18870	18870_18855	19	4855516	3392100	2445246	946854	207928	2235564	1700	54	125672	3708	121923	37	4	43	8037	NA18855	0.27861	0.08913	311848	7267	0.02	1	3153	TRUE	TRUE	0.279135049084638	TRUE	0.0850335712644045	TRUE	TRUE	0.0178330960717171	0.054537915264336	FALSE	FALSE	TRUE	1.90922749759802	3.17299902454533	2.95993883297649	-0.558913846018045	0.378106135954445	0.083460943212637	1032	106	0.733429479416563	0.0676196854839688
20170905-D04	20170905	D04	1	2.26461301	50x dilution	NA18855	NA18870	18870_18855	67	4466446	3105655	2293780	811875	223017	2070038	722	3	116085	3717	112336	29	3	44	7976	NA18870	0.26258	0.12966	311848	6582	0.02	1	2840	TRUE	TRUE	0.261418283743687	TRUE	0.0972268482592053	TRUE	TRUE	0.016666890864822	0.0542676028169531	FALSE	FALSE	TRUE	1.70957971025813	3.04409498554468	2.91368956389356	-0.421021231336641	0.0644130703392505	-0.039818373789327	898	92	0.714130250373978	0.64592878264504
20170905-D06	20170905	D06	1	1.754548369	50x dilution	NA18855	NA18870	18870_18855	69	4030291	2777694	2026980	750714	226853	1799331	796	0	102452	3609	98822	21	0	49	7505	NA18870	0.39112	0.09697	311848	5801	0.02	1	2660	TRUE	TRUE	0.270265191198167	TRUE	0.111916743135107	TRUE	TRUE	0.015908980705567	0.0549215236107198	FALSE	FALSE	TRUE	2.27374798604633	2.88243051773502	2.93879978972288	-0.156223316872191	0.0681204384390108	0.0692856280581648	1492	128	0.499637943542956	0.431028846614756
20170905-D07	20170905	D07	1	1.728119915	50x dilution	NA18855	NA18870	18870_18855	24	3903453	2779164	1944503	834661	197902	1744752	1848	1	110506	3414	107044	47	1	43	7749	NA18855	0.27306	0.0845	311848	5144	0.02	1	2843	TRUE	TRUE	0.300328084272824	TRUE	0.101775106543934	TRUE	TRUE	0.0172509625976493	0.0613519858409677	FALSE	FALSE	TRUE	3.00900564021406	2.98547601202827	2.97424316721846	0.381286700402482	0.168211116170286	0.0831576692399323	1179	110	0.672443644258724	4.46865347357416
20170905-D08	20170905	D08	1	1.779999724	50x dilution	NA18855	NA18870	18870_18855	23	4483849	3019640	2064726	954914	235489	1828144	1081	12	106704	3682	102993	26	3	45	7388	NA18855	0.29583	0.13112	311848	5957	0.02	1	2712	TRUE	TRUE	0.316234385555894	TRUE	0.114053390135059	TRUE	TRUE	0.0156355498558319	0.0563374657576208	FALSE	FALSE	TRUE	2.87138421469098	2.63947934552351	2.66201936992124	0.362558206579495	-0.295678271436057	-0.269294913900562	841	89	0.674012389785355	2.99064358917857
20170905-D09	20170905	D09	1	2.343250001	50x dilution	NA18855	NA18870	18870_18855	22	4922906	3377713	2399481	978232	186723	2211805	952	1	128426	3582	124813	30	1	42	8121	NA18870	0.20824	0.06368	311848	7164	0.02	1	3097	TRUE	TRUE	0.289613711999806	TRUE	0.077818078159402	TRUE	TRUE	0.0191834964091194	0.056430381520975	FALSE	FALSE	TRUE	1.95221858156043	3.13465364289741	2.85191940687756	-0.250027791265842	0.20084414855062	-0.108545448618344	777	87	0.729435341727814	0.0371426764244838
20170905-D10	20170905	D10	1	1.615845952	50x dilution	NA18855	NA18870	18870_18855	70	4078644	2802990	1981933	821057	229309	1752617	7	0	101833	3675	98151	7	0	41	7258	NA18855	0.33136	0.10615	311848	5437	0.02	1	2427	TRUE	TRUE	0.292921844173543	TRUE	0.115699672996009	TRUE	TRUE	0.0160264097789446	0.0560025379190091	FALSE	FALSE	TRUE	1.74433387698713	2.69252941059356	3.02109910062801	-0.732140225631474	-0.0242727051352629	0.162118533809499	1420	117	0.413206055186456	0.869409766730349
20170905-E01	20170905	E01	1	2.282666309	50x dilution	NA18855	NA18870	18870_18855	25	3726467	2620835	1968463	652372	155897	1811705	813	48	149930	4561	145303	62	4	47	9104	NA18870	0.20608	0.09744	311848	10415	0.03	1	4342	TRUE	TRUE	0.248917615950642	TRUE	0.0791973229875289	TRUE	TRUE	0.0292564962763876	0.0802023508242236	FALSE	FALSE	TRUE	3.0166393693342	2.92665269340515	2.7686104976574	0.724389516667953	-0.147815534238132	-0.188053295510408	934	95	0.546829136655893	3.59303415997823
20170905-E02	20170905	E02	1	2.0411321	50x dilution	NA18855	NA18870	18870_18855	26	5054174	3517683	2567737	949946	208358	2358209	1170	0	131825	3883	127900	42	0	45	8503	NA18855	0.29636	0.08376	311848	8239	0.03	1	3525	TRUE	TRUE	0.270048779267489	TRUE	0.081144603205079	TRUE	TRUE	0.0186361934746926	0.0542360749195682	FALSE	FALSE	TRUE	1.8494059629317	3.2301794851507	2.99346835468058	-0.334601563104909	0.680764830737248	0.145093751082164	2072	184	0.951857935860278	5.86409045423955
20170905-E03	20170905	E03	1	1.387567224	50x dilution	NA18855	NA18870	18870_18855	27	3719897	2609263	1824563	784700	257742	1565922	899	0	100876	4067	96764	45	0	42	7393	NA18870	0.47366	0.17461	311848	5786	0.02	1	2521	TRUE	TRUE	0.300736261542052	TRUE	0.141262318703163	TRUE	TRUE	0.0157793452367096	0.0617936270133506	FALSE	FALSE	TRUE	2.79133399846437	2.7903038091987	2.79386635310741	0.495619422877122	0.0777096254148737	-0.0182617648680288	974	94	0.582589589511777	4.10136015406023
20170905-E07	20170905	E07	1	2.17025252	50x dilution	NA18855	NA18870	18870_18855	28	5047976	3516390	2508162	1008228	204670	2302405	1086	1	137130	3903	133170	56	1	41	8530	NA18855	0.29697	0.106	311848	8351	0.03	1	3542	TRUE	TRUE	0.286722462525488	TRUE	0.0816015871383108	TRUE	TRUE	0.0190697219914985	0.0578395199801946	FALSE	FALSE	TRUE	1.86674777779817	3.21871350981773	2.98149541303577	-0.427286644324692	0.406798374445928	0.0997380429115049	1102	111	0.759414054015795	6.1862771396313
20170905-E08	20170905	E08	1	1.654411279	50x dilution	NA18855	NA18870	18870_18855	29	3945373	2745250	1934903	810347	220038	1714585	276	4	104346	3718	100605	21	2	42	7164	NA18855	0.27089	0.10295	311848	4981	0.02	1	2456	TRUE	TRUE	0.295181495310081	TRUE	0.113720429396202	TRUE	TRUE	0.0168970814132104	0.0586760061472601	FALSE	FALSE	TRUE	1.99244324635994	3.21965476656869	3.04072086594232	-0.250880886791891	0.4644581937182	0.302362716957111	1149	107	0.721707283305126	5.91151047785398
20170905-E09	20170905	E09	1	2.447926101	50x dilution	NA18855	NA18870	18870_18855	30	4326713	3043518	2230138	813380	166270	2063768	98	2	126791	3573	123207	9	2	43	8358	NA18855	0.25	0.10613	311848	8112	0.03	1	3439	TRUE	TRUE	0.267249939050796	TRUE	0.0745559243419017	TRUE	TRUE	0.0214891441631082	0.0597000244213497	FALSE	FALSE	TRUE	1.63124135338995	2.77125371975273	3.0221996479927	-0.290518826789576	0.0690575301370573	0.133125455174627	1114	104	0.652639552095875	0.570173446386
20170905-E11	20170905	E11	1	1.948048945	50x dilution	NA18855	NA18870	18870_18855	77	4082153	2831762	2057585	774177	212890	1843832	842	21	109052	3776	105243	30	3	47	7790	NA18870	0.18513	0.07984	311848	6309	0.02	1	2770	TRUE	TRUE	0.273390560364889	TRUE	0.103465956448944	TRUE	TRUE	0.0177368594109634	0.0570784106144161	FALSE	FALSE	TRUE	2.70031822170927	2.87661797614423	2.81790032794114	0.379057957674231	0.0401734929982838	-0.0716516019941476	747	82	0.625322170250452	4.00783792342915
20170905-E12	20170905	E12	1	1.404510097	50x dilution	NA18855	NA18870	18870_18855	76	3700405	2428500	1580825	847675	230176	1350019	536	94	83232	3551	79660	17	4	40	6586	NA18870	0.34384	0.12547	311848	4213	0.01	1	1996	TRUE	TRUE	0.34905291332098	TRUE	0.145604984738981	TRUE	TRUE	0.0154273251772557	0.0590065769444726	FALSE	FALSE	TRUE	2.33663056455873	2.54140929141816	2.69168754595179	0.000239714370504185	-0.351350080449435	-0.285971147746253	615	73	0.66179421544671	2.30262376515499
20170905-F01	20170905	F01	1	1.756817329	50x dilution	NA18855	NA18870	18870_18855	31	4066396	2740798	1922969	817829	219723	1702712	506	28	102707	3708	98968	29	2	42	7537	NA18870	0.29833	0.1099	311848	5763	0.02	1	2641	TRUE	TRUE	0.29839083361853	TRUE	0.114262372404339	TRUE	TRUE	0.0168757936128671	0.0581237461179577	FALSE	FALSE	TRUE	2.77660916215716	3.01132504959449	2.70563382294018	0.314769705166456	0.079461532954161	-0.211691278201954	933	95	0.604066335203121	4.21511140185925
20170905-F02	20170905	F02	1	2.067624227	50x dilution	NA18855	NA18870	18870_18855	32	5582147	3738420	2557456	1180964	242965	2313557	674	260	128916	3760	125129	22	5	46	8133	NA18870	0.28888	0.13127	311848	6706	0.02	1	2974	TRUE	TRUE	0.315899230156055	TRUE	0.0950026119706458	TRUE	TRUE	0.0154754800074085	0.0540851165542928	FALSE	FALSE	TRUE	2.71927069206762	2.87402289411275	2.74891140220826	0.843619200181403	0.442278597209575	-0.0388217295439146	863	89	0.627649699846757	4.56589791836771
20170905-F04	20170905	F04	1	1.700538045	50x dilution	NA18855	NA18870	18870_18855	81	5191838	3494973	2324144	1170829	280504	2042856	782	2	126271	4375	121854	41	1	47	7903	NA18855	0.26414	0.09301	311848	6629	0.02	1	2980	TRUE	TRUE	0.335003732503799	TRUE	0.120691316889143	TRUE	TRUE	0.0155969255340387	0.0596488445587942	FALSE	FALSE	TRUE	2.85479473068231	3.0642207439367	2.96105530126245	0.603410878366759	0.179838686648673	0.0634366161291031	1068	105	0.69238775262944	4.30587274550235
20170905-F06	20170905	F06	1	2.126771314	50x dilution	NA18855	NA18870	18870_18855	79	5537061	3827554	2597261	1230293	234152	2361592	1515	2	147879	4303	143521	53	2	45	8385	NA18855	0.40188	0.13566	311848	7416	0.02	1	3278	TRUE	TRUE	0.321430605551221	TRUE	0.0901534347144935	TRUE	TRUE	0.0183769517236667	0.0607729870358639	FALSE	FALSE	TRUE	1.96067255015704	3.21720705198271	3.24065175903599	-0.448208859682752	0.316951354040878	0.319349735012061	1927	144	0.753643602987578	0.0571011919507054
20170905-F07	20170905	F07	1	1.262105691	50x dilution	NA18855	NA18870	18870_18855	34	3438146	2310700	1565383	745317	246583	1317888	907	5	85652	3697	81923	30	2	44	6637	NA18855	0.34984	0.1052	311848	4716	0.02	1	2144	TRUE	TRUE	0.322550309430043	TRUE	0.157522472136212	TRUE	TRUE	0.0149929232753272	0.062162338529526	FALSE	FALSE	TRUE	1.73795697717967	2.31786384467945	2.75810554768539	-0.314473564423695	-0.326044516859982	-0.213059176949375	764	84	0.576518511018759	1.75171063872495
20170905-F10	20170905	F10	1	1.902813948	50x dilution	NA18855	NA18870	18870_18855	84	5152897	3486108	2415510	1070598	251515	2163106	878	11	120354	3777	116542	33	2	41	7764	NA18870	0.33066	0.13582	311848	6161	0.02	1	2694	TRUE	TRUE	0.307104082833923	TRUE	0.104125008797314	TRUE	TRUE	0.015016996998191	0.0538771562743573	FALSE	FALSE	TRUE	2.72036986183497	2.82676332657975	2.81758329311276	0.392374894021859	-0.0486629879827971	-0.0968125876937349	724	83	0.674005155842408	3.66092597169562
